Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Wing	1256.590281	1256.388211	674.591887	665.962709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wing	1256.590281	1256.388211	674.591887	665.962709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Strut	27.397411	26.902143	2.005679	1.944542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	29.100000	0.141382	68.586821
Strut	27.397411	26.902143	2.005679	1.944542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	29.100000	0.141382	68.586821
Strut	6.287403	5.979197	0.452836	0.425198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.557492	0.141382	15.455586
Strut	6.287403	5.979197	0.452836	0.425198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.557492	0.141382	15.455586
Motor	32.978708	32.978708	14.351059	14.169764	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	9.818203	0.848497
Axle	1.542450	1.005338	0.103328	0.066496	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.500000	0.141382	3.535403
PropGeom	63.058188	63.058188	7.140395	7.050191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropGeom	63.058188	63.058188	7.140395	7.050191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropRing	5.785388	5.647618	0.861064	0.829940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	3.534553	0.235694
Box	62.000000	62.000000	30.000000	29.621012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Box	60.500000	60.500000	26.250000	25.918386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
VertStab	152.028502	211.192143	8.326728	8.326728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RudderTip	15.194558	14.520751	1.772430	1.672433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RudderMain	212.994629	212.429550	14.283683	14.065822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
VertStab	50.478358	40.395268	4.100437	3.239918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HorizStab	173.130528	167.430609	23.948916	22.867870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Elevator	135.348994	130.134799	18.170562	17.249853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ElevatorTip	23.670341	23.577116	2.880321	2.832733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ElevatorTip	23.670341	22.036878	2.880321	2.647677	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wheel	69.484605	69.436182	38.269492	37.759704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	39.272813	0.282832
Wheel	69.484605	69.436182	38.269492	37.759704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	39.272813	0.282832
Strut	9.472455	5.850065	0.687127	0.419000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.958678	0.141382	23.471960
Strut	9.472455	6.410964	0.687127	0.459173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.958678	0.141382	23.471960
Strut	7.195557	6.895638	0.519639	0.491689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.527273	0.141382	17.741296
Strut	7.195557	6.895638	0.519639	0.491689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.527273	0.141382	17.741296
Wheel	12.366141	12.366141	3.061559	3.022883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	6.283650	0.353540
